web-scraper-order,web-scraper-start-url,Category,Category-href,Name,description,gem_name,repository,repository-href
1517280948-22493,https://www.ruby-toolbox.com/,Rails Comments,https://www.ruby-toolbox.com/categories/rails_comments.html,Acts as commentable with threading,null,null,elight/acts_as_commentable_with_threading,https://github.com/elight/acts_as_commentable_with_threading
1517280940-22441,https://www.ruby-toolbox.com/,Rails Tagging,https://www.ruby-toolbox.com/categories/rails_tagging.html,Is taggable,tagging that doesn't want to be on steroids. it's skinny and happy to stay that way.,is_taggable,jamesgolick/is_taggable,https://github.com/jamesgolick/is_taggable
1517280950-22502,https://www.ruby-toolbox.com/,Pagination,https://www.ruby-toolbox.com/categories/pagination.html,sorted,"Data sorting library, used by other libs to construct queries and more",sorted,mynameisrufus/sorted,https://github.com/mynameisrufus/sorted
1517280953-22519,https://www.ruby-toolbox.com/,Active Record Versioning,https://www.ruby-toolbox.com/categories/Active_Record_Versioning.html,acts-as-approvable,Generic approval queues for record creation and updates,acts-as-approvable,jlogsdon/acts_as_approvable,https://github.com/jlogsdon/acts_as_approvable
1517280972-22607,https://www.ruby-toolbox.com/,Active Record Enumerations,https://www.ruby-toolbox.com/categories/Active_Record_Enumerations.html,attribute_choices,Extends ActiveRecord attributes with a `:choices` pseudo-type that provides convenient methods for mapping each choice to its human readable form.,attribute_choices,christos/attribute_choices,https://github.com/christos/attribute_choices
1517280967-22583,https://www.ruby-toolbox.com/,Active Record Named Scopes,https://www.ruby-toolbox.com/categories/Active_Record_Named_Scopes.html,Utility scopes,A collection of utilitarian named scopes providing common functionality for ActiveRecord models.,utility_scopes,yfactorial/utility_scopes,https://github.com/yfactorial/utility_scopes
1517280942-22460,https://www.ruby-toolbox.com/,Rails Search,https://www.ruby-toolbox.com/categories/rails_search.html,Scoped search,"Scoped search makes it easy to search your ActiveRecord-based models. It will create a named scope :search_for that can be called with a query string. It will build an SQL query using the provided query string and a definition that specifies on what fields to search. Because the functionality is built on named_scope, the result of the search_for call can be used like any other named_scope, so it can be chained with another scope or combined with will_paginate. Because it uses standard SQL, it does not require any setup, indexers or daemons. This makes scoped_search suitable to quickly add basic search functionality to your application with little hassle. On the other hand, it may not be the best choice if it is going to be used on very large datasets or by a large user base.",scoped_search,wvanbergen/scoped_search,https://github.com/wvanbergen/scoped_search
1517280942-22468,https://www.ruby-toolbox.com/,Rails Search,https://www.ruby-toolbox.com/categories/rails_search.html,elastictastic,"Elastictastic is an object-document mapper and lightweight API adapter for ElasticSearch. Elastictastic's primary use case is to define model classes which use ElasticSearch as a primary document-oriented data store, and to expose ElasticSearch's search functionality to query for those models.",elastictastic,brewster/elastictastic,https://github.com/brewster/elastictastic
1517280944-22478,https://www.ruby-toolbox.com/,Rails Ratings,https://www.ruby-toolbox.com/categories/rails_ratings.html,Acts as rateable,Acts_as_rateable is a rails plugin providing a rating interface for ActiveRecord models.,acts_as_rateable,azabaj/acts_as_rateable,https://github.com/azabaj/acts_as_rateable
1517280972-22604,https://www.ruby-toolbox.com/,Active Record Enumerations,https://www.ruby-toolbox.com/categories/Active_Record_Enumerations.html,power_enum,"Power Enum allows you to treat instances of your ActiveRecord models as though they were an enumeration of values. It allows you to cleanly solve many of the problems that the traditional Rails alternatives handle poorly if at all. It is particularly suitable for scenarios where your Rails application is not the only user of the database, such as when it's used for analytics or reporting.",power_enum,albertosaurus/power_enum,https://github.com/albertosaurus/power_enum
1517280955-22535,https://www.ruby-toolbox.com/,Active Record Value Cleanup,https://www.ruby-toolbox.com/categories/Active_Record_Value_Cleanup.html,Strip control chars,a small ActiveRecord plugin that removes ASCII control chars from attributes,strip_control_chars,yob/strip_control_chars,https://github.com/yob/strip_control_chars
1517280972-22605,https://www.ruby-toolbox.com/,Active Record Enumerations,https://www.ruby-toolbox.com/categories/Active_Record_Enumerations.html,Enumerate by,Adds support for declaring an ActiveRecord class as an enumeration,enumerate_by,pluginaweek/enumerate_by,https://github.com/pluginaweek/enumerate_by
1517280942-22464,https://www.ruby-toolbox.com/,Rails Search,https://www.ruby-toolbox.com/categories/rails_search.html,Acts as Solr,Acts As Solr,acts_as_solr,tjackiw/acts_as_solr,https://github.com/tjackiw/acts_as_solr
1517280944-22475,https://www.ruby-toolbox.com/,Rails Ratings,https://www.ruby-toolbox.com/categories/rails_ratings.html,Ajaxful-rating,null,null,edgarjs/ajaxful-rating,https://github.com/edgarjs/ajaxful-rating
1517280969-22596,https://www.ruby-toolbox.com/,Active Record Index Assistants,https://www.ruby-toolbox.com/categories/Active_Record_Index_Assistants.html,automatic_foreign_key,Automatic Foreign Key automatically generates foreign-key constraints when creating tables or adding columns. It uses SQL-92 syntax and as such should be compatible with most databases that support foreign-key constraints.,automatic_foreign_key,mlomnicki/automatic_foreign_key,https://github.com/mlomnicki/automatic_foreign_key
